lever :3
time reduce; damage; speed; distance
10;0;30;500
10;1;30;500
10;2;30;500
10;3;30;500
10;4;30;500
10;5;30;500
10;6;30;500
10;7;30;500
10;8;30;500
9;9;30;500
9;10;30;500
9;11;30;500
9;12;30;500
9;13;30;500
8;14;30;500
8;15;30;500
8;16;30;500
7;17;30;500
7;18;30;500
6;19;30;500
6;20;30;500
5;21;30;500
5;22;30;500
5;23;30;500
5;24;30;500
5;25;30;500
5;26;30;500
5;27;30;500
5;28;30;500
5;29;30;500
5;30;30;500
4;32;30;500
4;34;30;500
4;36;30;500
4;38;30;500
4;40;30;500
4;45;30;500
4;46;30;500
4;50;30;500
4;55;30;500
4;60;30;500
4;70;30;500
4;80;30;500
4;90;30;500
3;95;30;500
3;100;30;500
3;111;30;500
3;112;30;500
3;115;30;500
3;120;30;500
