lever :0
time reduce; number Burning; damage; radius
10;2;1;100
10;2;1;120
10;2;1;130
10;2;1;140
10;2;1;150
10;2;1;160
10;2;1;180
10;2;1;190
10;2;1;200
9;2;1;250
9;2;1;300
9;2;2;300
9;2;3;300
9;2;4;300
9;2;5;300
9;2;6;300
8;2;7;300
8;2;8;300
8;2;9;300
8;3;11;310
8;3;11;320
7;3;11;330
7;3;11;340
7;3;11;350
7;3;11;360
7;3;11;370
7;3;11;380
7;3;11;390
7;3;15;400
6;3;15;410
6;3;15;420
6;3;15;430
6;3;15;440
5;3;15;450
5;3;15;460
5;3;15;470
5;3;20;500
5;3;25;500
5;3;25;520
5;3;25;540
5;3;25;560
5;3;25;560
5;3;25;560
5;3;25;560
5;3;26;600
5;3;27;600
5;3;28;600
5;4;29;600
5;4;30;600
3;4;30;700
