lever :0
time reduce; damage; speed; distance
10;0;30;400
10;1;30;400
10;2;30;400
10;3;30;400
10;4;30;400
10;5;30;400
10;6;30;400
10;7;30;400
10;8;30;400
9;9;30;400
9;10;30;400
9;11;30;400
9;12;30;400
9;13;30;400
8;14;30;400
8;15;30;400
8;16;30;400
7;17;30;400
7;18;30;400
6;19;30;400
6;20;30;400
5;21;30;400
5;22;30;400
5;23;30;400
5;24;30;400
5;25;30;400
5;26;30;400
5;27;30;400
5;28;30;400
5;29;30;400
5;30;30;400
4;32;30;400
4;34;30;400
4;36;30;400
4;38;30;400
4;40;30;400
4;45;30;400
4;46;30;400
4;50;30;400
4;55;30;400
4;60;30;400
4;70;30;400
4;80;30;400
4;90;30;400
3;95;30;400
3;100;30;400
3;111;30;400
3;112;30;400
3;115;30;400
3;120;30;400
